model,make,year,number_seats,weight_in_kg,price_in_euro,ride,current_timestamp,ambient_light_level_in_lux,fuel_level_in_percent,tire_pressure,acceleration,speed,engine_temperature,engine_rpm,engine_oil_pressure,cruise_control,cruise_control_speed
Model S,Tesla,1995,5,2100,72520,1,7,5302,0.975,2.5,-10.0,0,85.0,1455,37.652586847357085,False,
Model S,Tesla,1995,5,2100,72520,1,8,5239,0.97,2.5,-10.0,0,85.0,800,52.430245761826754,False,
Model S,Tesla,1995,5,2100,72520,1,9,5181,0.965,2.5,-10.0,0,85.0,2075,54.66903419671345,False,
Model S,Tesla,1995,5,2100,72520,1,10,5103,0.96,2.5,-10.0,0,85.0,800,22.020743229257643,False,
Model S,Tesla,1995,5,2100,72520,1,11,5063,0.955,2.5,-10.0,0,85.0,800,11.006147903236432,False,
Model S,Tesla,1995,5,2100,72520,1,12,5056,0.95,2.5,-6.526549020466457,0,85.0,2981,50.121410252381374,False,
Model S,Tesla,1995,5,2100,72520,1,13,5036,0.945,2.5,-9.022182859498919,0,85.0,800,27.859742416240046,False,
Model S,Tesla,1995,5,2100,72520,1,14,4994,0.94,2.5,-10.0,0,85.0,1452,66.35800947484366,False,
Model S,Tesla,1995,5,2100,72520,1,15,4950,0.9349999999999999,2.5,-10.0,0,85.0,800,28.620450493797303,False,
Model S,Tesla,1995,5,2100,72520,1,16,4884,0.9299999999999999,2.5,-5.598613593693429,0,85.0,1187,49.983501928340914,False,
Model S,Tesla,1995,5,2100,72520,1,17,4831,0.9247827580450183,2.3959019167329467,-6.2664069100397874,0,85.0,4120,98.97901070316155,False,
Model S,Tesla,1995,5,2100,72520,1,18,4732,0.9195655160900367,2.3959019167329467,-3.1933241857317847,0,85.0,2457,64.60453695267685,False,
Model S,Tesla,1995,5,2100,72520,1,19,4673,0.904348274135055,2.3959019167329467,3.1435183823180703,3,87.09893726457138,5005,133.8981238395644,False,
Model S,Tesla,1995,5,2100,72520,1,20,4590,,2.3959019167329467,8.43948859513286,11,91.35227109537819,6127,139.37830129410642,False,
Model S,Tesla,1995,5,2100,72520,1,21,4569,,2.3959019167329467,8.506255767106483,19,97.27601974225216,6833,200.0,False,
Model S,Tesla,1995,5,2100,72520,1,22,4538,,2.3959019167329467,10.0,28,104.26399954352866,6280,159.8288158185623,False,
Model S,Tesla,1995,5,2100,72520,1,23,4441,0.8434793063151285,2.3959019167329467,10.0,37,103.22484999395873,6991,188.0086107859842,False,
Model S,Tesla,1995,5,2100,72520,1,24,4437,0.8282620643601468,2.3959019167329467,5.428720833778456,42,95.56959899102995,5418,125.14143988741158,False,
Model S,Tesla,1995,5,2100,72520,1,25,4414,0.8130448224051652,2.3959019167329467,0.6225020234692371,42,87.35614916716992,1647,74.3205422936642,False,
Model S,Tesla,1995,5,2100,72520,1,26,4402,0.7978275804501835,2.3959019167329467,0.0930872770027642,42,85.90458837794793,3008,124.41288877094632,False,
Model S,Tesla,1995,5,2100,72520,1,27,4357,0.7826103384952019,2.3959019167329467,4.276573801666954,46,95.82437094072762,5791,180.96716425723042,False,
Model S,Tesla,1995,5,2100,72520,1,28,4299,0.7673930965402203,2.3959019167329467,5.144630050465925,50,90.46686822670148,4232,,False,
Model S,Tesla,1995,5,2100,72520,1,29,4214,0.7621758545852386,2.3959019167329467,-2.0007434242475988,48,85.0,3824,84.06105463613324,False,
Model S,Tesla,1995,5,2100,72520,1,30,4131,0.756958612630257,2.3959019167329467,-7.577929979854613,40,85.0,3212,90.76259801236966,False,
Model S,Tesla,1995,5,2100,72520,1,31,4123,0.7413939550419848,2.2463197064172085,2.8936548295085505,42,91.83755050301416,4621,126.3569019528707,False,
Model S,Tesla,1995,5,2100,72520,1,32,4098,0.7258292974537126,2.2463197064172085,3.421549134127154,45,90.22702370044483,4623,124.26970002732335,False,
Model S,Tesla,1995,5,2100,72520,1,33,4047,0.7102646398654404,2.2463197064172085,9.767115874414271,53,98.72256012670529,5641,150.38016446375173,False,
Model S,Tesla,1995,5,2100,72520,1,34,3983,0.6946999822771682,2.2463197064172085,10.0,61,101.74721652749348,6506,200.0,False,
Model S,Tesla,1995,5,2100,72520,1,35,3979,0.679135324688896,2.2463197064172085,10.0,69,102.17915783193835,7000,200.0,False,
Model S,Tesla,1995,5,2100,72520,1,36,3908,0.6635706671006238,2.2463197064172085,5.0956221401413515,73,92.76903454298717,6875,165.0093291955356,False,
Model S,Tesla,1995,5,2100,72520,1,37,3904,0.6480060095123517,2.2463197064172085,4.307632301909496,76,89.67159729427765,3606,106.23923210089072,False,
A7,Audi,2009,5,1645,68625,2,1,5084,0.3344978089230659,2.5,10.0,10,102.47151064091605,7000,200.0,False,
A7,Audi,2009,5,1645,68625,2,2,5060,0.3194978089230659,2.5,10.0,20,102.16153376673326,6802,196.35581623336543,False,
A7,Audi,2009,5,1645,68625,2,3,5012,0.3044978089230659,2.5,10.0,30,101.35634421145087,6963,168.85744019573238,False,
A7,Audi,2009,5,1645,68625,2,4,4960,0.28949780892306587,2.5,10.0,40,104.60159759770819,7000,180.6312900622816,False,
A7,Audi,2009,5,1645,68625,2,5,4920,0.27449780892306586,2.5,10.0,50,96.94725035666755,5614,152.04693586758864,False,
A7,Audi,2009,5,1645,68625,2,6,4831,0.25949780892306584,2.5,10.0,60,96.64126494514078,6734,166.09402563581722,False,
A7,Audi,2009,5,1645,68625,2,7,4808,0.24449780892306583,2.5,10.0,70,103.97629852858766,7000,197.91638374196057,False,
A7,Audi,2009,5,1645,68625,2,8,4763,0.22949780892306582,2.5,2.5680145504808616,72,89.83367119976216,4937,134.38041344066414,False,
A7,Audi,2009,5,1645,68625,2,9,4741,0.2144978089230658,2.5,8.011040464270291,80,97.77829902247412,5790,172.88335677586906,False,
A7,Audi,2009,5,1645,68625,2,10,4660,0.1994978089230658,2.5,8.702696419202494,88,95.934106492049,7000,183.78991092948453,False,
A7,Audi,2009,5,1645,68625,2,11,4574,0.18449780892306578,2.5,10.0,98,103.10317594458554,5438,167.8322181620319,False,
A7,Audi,2009,5,1645,68625,2,12,4532,0.16949780892306576,2.5,10.0,108,100.84885455304715,7000,160.27116392337084,False,
A7,Audi,2009,5,1645,68625,2,13,4442,0.15449780892306575,2.5,7.021984995013717,115,94.864047873867,5315,120.11340647167955,False,
A7,Audi,2009,5,1645,68625,2,14,4372,0.13949780892306574,2.5,10.0,125,101.0026279109647,7000,200.0,False,
A7,Audi,2009,5,1645,68625,2,15,4285,0.12449780892306574,2.5,5.390115862369413,130,91.11330941267381,3264,99.63119830424438,False,
A7,Audi,2009,5,1645,68625,2,16,4194,0.11949780892306573,2.5,-2.636286064703258,127,85.0,2934,69.96348268497253,False,
A7,Audi,2009,5,1645,68625,2,17,4101,0.11449780892306573,2.5,-4.761129888776455,122,85.0,1492,82.1383339970945,False,
A7,Audi,2009,5,1645,68625,2,18,4019,0.10949780892306572,2.5,-9.346024935836333,112,85.0,800,17.586821465326775,False,
A7,Audi,2009,5,1645,68625,2,19,3976,0.10449780892306572,2.5,-10.0,102,85.0,1092,20.173107224351174,False,
A7,Audi,2009,5,1645,68625,2,20,3878,0.09949780892306571,2.5,-8.80952938881525,93,85.0,1095,60.49687224309872,False,
A7,Audi,2009,5,1645,68625,2,21,3799,0.08449780892306571,2.5,3.5525399474318284,96,88.71874585441064,4812,84.68717289621924,False,
A7,Audi,2009,5,1645,68625,2,22,3752,0.06949780892306572,2.5,3.704377509436535,99,89.97760271456423,2102,41.44531028189597,False,
A7,Audi,2009,5,1645,68625,2,23,3654,0.054497808923065716,2.5,0.4666254065390998,99,87.98295266623339,4179,111.7962689028345,False,
A7,Audi,2009,5,1645,68625,2,24,3575,0.039497808923065716,2.5,0.4666254065390998,99,85.73105068236539,4223,92.30436870948671,True,99
A7,Audi,2009,5,1645,68625,2,25,3507,0.024497808923065717,2.5,0.4666254065390998,99,85.0,4634,89.57837829872165,True,99
A7,Audi,2009,5,1645,68625,2,26,3472,0.009497808923065718,2.5,0.4666254065390998,99,85.0,5265,121.05395981534207,True,99
A7,Audi,2009,5,1645,68625,2,27,3442,0.0,2.5,0.4666254065390998,99,85.0,2518,70.13529496687545,True,99
A7,Audi,2009,5,1645,68625,2,28,3370,0.985,2.5,0.4666254065390998,99,85.0,3630,90.1842142471643,True,99
A7,Audi,2009,5,1645,68625,2,29,3331,0.97,2.5,4.301593812145188,103,94.19147359958666,3589,77.87458994667338,False,
A7,Audi,2009,5,1645,68625,2,30,3280,0.965,2.5,-3.057505364936967,99,85.0,2013,52.641649389267236,False,
A7,Audi,2009,5,1645,68625,2,31,3219,0.95,2.5,4.670399066317025,103,95.92554901468,4696,112.5176156444993,False,
A7,Audi,2009,5,1645,68625,2,32,3162,0.9349999999999999,2.5,2.0046197184406864,105,90.02808802635789,3490,84.64141655994531,False,
A7,Audi,2009,5,1645,68625,2,33,3096,0.9299999999999999,2.5,-0.3948356075635284,104,86.64825885970586,3312,111.28706374057754,False,
A7,Audi,2009,5,1645,68625,2,34,3074,0.9249999999999999,2.5,-9.688382211044122,94,85.0,2241,64.88532061516682,False,
A7,Audi,2009,5,1645,68625,2,35,3069,0.9199999999999999,2.5,-5.391052838172152,88,85.0,2195,59.60709736659134,False,
A7,Audi,2009,5,1645,68625,2,36,2988,0.9149999999999999,2.5,-6.9055359550676885,81,85.0,2127,59.68241127327636,False,
A7,Audi,2009,5,1645,68625,2,37,2935,0.9099999999999999,2.5,-9.315300630944055,71,85.0,800,42.32653925323117,False,
A7,Audi,2009,5,1645,68625,2,38,2923,0.9049999999999999,2.5,-10.0,61,85.0,1255,49.11007059989237,False,
A7,Audi,2009,5,1645,68625,2,39,2902,,2.5,-10.0,51,85.0,800,23.24293718061804,False,
A7,Audi,2009,5,1645,68625,2,40,2834,,2.5,-10.0,41,85.0,1565,86.50091561376665,False,
A7,Audi,2009,5,1645,68625,2,41,2740,,2.5,-9.941550959202814,31,85.0,2036,43.48161868342214,False,
A7,Audi,2009,5,1645,68625,2,42,2665,,2.5,-10.0,21,85.0,800,7.059461501876321,False,
A7,Audi,2009,5,1645,68625,2,43,2635,,2.5,-5.236716668338211,15,85.0,2468,24.127271832382718,False,
A7,Audi,2009,5,1645,68625,2,44,2620,,2.5,4.73931456402849,19,91.15315894931089,4171,109.22090232400413,False,
A7,Audi,2009,5,1645,68625,2,45,2554,0.8499999999999999,2.5,6.667717869729265,25,97.37790565143223,5608,156.57054594273743,False,
A7,Audi,2009,5,1645,68625,2,46,2469,0.8349999999999999,2.5,1.8004617197355781,26,86.31874556425998,5767,144.8559127017712,False,
A7,Audi,2009,5,1645,68625,2,47,2444,0.8199999999999998,2.5,4.845342651886167,30,96.83086291172862,4625,118.00502318800312,False,
A7,Audi,2009,5,1645,68625,2,48,2395,0.8049999999999998,2.5,1.1835772145709735,31,85.86426931480904,3092,92.65432070857806,False,
A7,Audi,2009,5,1645,68625,2,49,2327,0.7999999999999998,2.5,-10.0,21,85.0,1212,32.54612167267008,False,
A7,Audi,2009,5,1645,68625,2,50,2269,0.7949999999999998,2.5,-10.0,11,85.0,800,33.47732668459902,False,
A7,Audi,2009,5,1645,68625,2,51,2183,0.7899999999999998,2.5,-10.0,1,85.0,800,41.351768779511545,False,
A7,Audi,2009,5,1645,68625,2,52,2170,0.7849999999999998,2.5,-10.0,0,85.0,1676,53.54783306518052,False,
A7,Audi,2009,5,1645,68625,2,53,2166,0.7799999999999998,2.5,-8.570282898975025,0,85.0,1722,67.38766575510707,False,
A7,Audi,2009,5,1645,68625,2,54,2162,0.7749999999999998,2.5,-8.46396918650297,0,85.0,1701,43.10364173981496,False,
A7,Audi,2009,5,1645,68625,2,55,2063,0.7599999999999998,2.5,2.495431047133703,2,85.44935336821406,4401,142.0172265234804,False,
A7,Audi,2009,5,1645,68625,2,56,1972,0.7549999999999998,2.5,-4.89888109952792,0,85.0,1734,58.736284288132524,False,
A7,Audi,2009,5,1645,68625,2,57,1903,0.7399999999999998,2.5,2.5940143914153353,2,87.27091949921117,4774,137.0234631271026,False,
A7,Audi,2009,5,1645,68625,2,58,1816,0.7349999999999998,2.5,-2.7154163093088535,0,85.0,2824,87.67821455498688,False,
A7,Audi,2009,5,1645,68625,2,59,1732,0.7299999999999998,2.5,-10.0,0,85.0,800,20.591743099687786,False,
A7,Audi,2009,5,1645,68625,2,60,1703,0.7249999999999998,2.5,-10.0,0,85.0,1345,49.61026454818891,False,
A7,Audi,2009,5,1645,68625,2,61,1611,0.7199999999999998,2.5,-10.0,0,85.0,2000,64.16264026474468,False,
A7,Audi,2009,5,1645,68625,2,62,1562,0.7149999999999997,2.5,-10.0,0,85.0,800,59.44258920065231,False,
A7,Audi,2009,5,1645,68625,2,63,1546,0.6999999999999997,2.5,2.273868793021675,2,85.0,2064,66.07996375804512,False,
A7,Audi,2009,5,1645,68625,2,64,1447,0.6949999999999997,2.5,-4.017951409930013,0,85.0,3276,81.53184790160864,False,
A7,Audi,2009,5,1645,68625,2,65,1372,0.6899999999999997,2.5,-4.017951409930013,0,85.0,4086,151.85108077033135,True,0
A7,Audi,2009,5,1645,68625,2,66,1311,0.6849999999999997,2.5,-4.017951409930013,0,85.0,3547,110.09979375542832,True,0
A7,Audi,2009,5,1645,68625,2,67,1308,0.6799999999999997,2.5,-4.017951409930013,0,85.0,800,26.21254726301242,True,0
A7,Audi,2009,5,1645,68625,2,68,1300,0.6749999999999997,2.5,-4.017951409930013,0,85.0,2255,53.17806170754135,True,0
A7,Audi,2009,5,1645,68625,2,69,1217,0.6699999999999997,2.5,-4.017951409930013,0,85.0,800,31.217401960435772,True,0
A7,Audi,2009,5,1645,68625,2,70,1154,0.6649999999999997,2.5,-8.96728920253231,0,85.0,800,41.66174994489521,False,
A7,Audi,2009,5,1645,68625,2,71,1103,0.6599999999999997,2.5,-10.0,0,85.0,1632,74.1273205998011,False,
A7,Audi,2009,5,1645,68625,2,72,1090,0.6449999999999997,2.5,2.250399766921994,2,90.73185042655798,6612,143.6732286087848,False,
A7,Audi,2009,5,1645,68625,2,73,1069,0.6399999999999997,2.5,-3.5622692477609634,0,85.0,3380,59.69782316248771,False,
A7,Audi,2009,5,1645,68625,2,74,1066,0.6349999999999997,2.5,-7.818950886511159,0,85.0,2018,65.69864291486977,False,
A7,Audi,2009,5,1645,68625,2,75,999,1.0,2.5,-6.853999909396238,0,85.0,800,25.61411410434299,False,
A7,Audi,2009,5,1645,68625,2,76,951,0.995,2.5,-10.0,0,85.0,800,32.11474525157463,False,
A7,Audi,2009,5,1645,68625,2,77,943,0.9897681211994288,2.389199076751441,-10.0,0,85.0,983,68.19879599102335,False,
A7,Audi,2009,5,1645,68625,2,78,906,0.9845362423988576,2.389199076751441,-3.6666378007424267,0,85.0,2139,76.66195784799861,False,
A7,Audi,2009,5,1645,68625,2,79,814,0.9693043635982865,2.389199076751441,0.20392034370913148,0,87.04774830396221,2825,51.11541881639707,False,
A7,Audi,2009,5,1645,68625,2,80,813,0.9640724847977153,2.389199076751441,-10.0,0,85.0,1572,44.34029507629516,False,
A7,Audi,2009,5,1645,68625,2,81,785,0.9588406059971442,2.389199076751441,-10.0,0,85.0,800,52.23987363034882,False,
A7,Audi,2009,5,1645,68625,2,82,698,0.953608727196573,2.389199076751441,-10.0,0,85.0,800,74.30204363239108,False,
A7,Audi,2009,5,1645,68625,2,83,678,0.9483768483960018,2.389199076751441,-10.0,0,85.0,800,27.369713050318424,False,
A7,Audi,2009,5,1645,68625,2,84,624,0.9431449695954306,2.389199076751441,-10.0,0,85.0,800,36.993123286029146,False,
A7,Audi,2009,5,1645,68625,2,85,563,0.9379130907948594,2.389199076751441,-10.0,0,85.0,1566,51.23043869053608,False,
3 Series,BMW,2017,5,1570,47416,3,1,10009,1.0,2.5,-10.0,0,85.0,1036,,False,
3 Series,BMW,2017,5,1570,47416,3,2,9973,0.995,2.5,-7.21496740072355,0,85.0,2274,50.15648260583933,False,
3 Series,BMW,2017,5,1570,47416,3,3,9875,0.98,2.5,0.356344996936218,0,86.6449775870378,3307,71.83604720287735,False,
3 Series,BMW,2017,5,1570,47416,3,4,9853,0.975,2.5,-4.041997326352588,0,85.0,1838,26.13661294320769,False,
3 Series,BMW,2017,5,1570,47416,3,5,9809,0.97,2.5,-2.47564130664518,0,85.0,3407,96.39052610416968,False,
3 Series,BMW,2017,5,1570,47416,3,6,9750,0.965,2.5,-6.112755785572757,0,85.0,1646,27.07442025697407,False,
3 Series,BMW,2017,5,1570,47416,3,7,9718,0.96,2.5,-9.470176454864987,0,85.0,800,48.73472707931927,False,
3 Series,BMW,2017,5,1570,47416,3,8,9620,0.955,2.5,-10.0,0,85.0,800,20.398029327247045,False,
3 Series,BMW,2017,5,1570,47416,3,9,9611,0.95,2.5,-4.7217655919458945,0,85.0,800,47.68946806255249,False,
3 Series,BMW,2017,5,1570,47416,3,10,9602,0.945,2.5,-3.362206659083644,0,85.0,2337,79.95340749023501,False,
3 Series,BMW,2017,5,1570,47416,3,11,9518,0.9299999999999999,2.5,1.0594905532374588,1,86.94754487824923,3670,96.16309716688693,False,
3 Series,BMW,2017,5,1570,47416,3,12,9499,0.9149999999999999,2.5,4.427383285118878,5,86.0710598700263,6418,133.10663335204387,False,
3 Series,BMW,2017,5,1570,47416,3,13,9460,,2.5,7.874857584245126,12,93.42125649476642,6391,161.1301549580797,False,
3 Series,BMW,2017,5,1570,47416,3,14,9375,,2.5,8.519889843534248,20,95.68910648113719,5707,168.75721285101287,False,
3 Series,BMW,2017,5,1570,47416,3,15,9352,,2.5,10.0,30,97.10712407492989,6913,194.03735668905563,False,
3 Series,BMW,2017,5,1570,47416,3,16,9314,,2.5,10.0,40,102.45421384708683,5890,166.16980913123493,False,
3 Series,BMW,2017,5,1570,47416,3,17,9309,0.8399999999999999,2.5,10.0,50,98.1063386360495,5718,144.81352082932688,False,
3 Series,BMW,2017,5,1570,47416,3,18,9261,0.8249999999999998,2.5,10.0,60,94.73935997960503,7000,195.03423484432327,False,
3 Series,BMW,2017,5,1570,47416,3,19,9175,0.8099999999999998,2.5,10.0,70,98.27907740966602,7000,182.43967044304063,False,
3 Series,BMW,2017,5,1570,47416,3,20,9105,0.7949999999999998,2.5,5.572359155752566,75,92.55820798568075,6569,185.80782505109607,False,
3 Series,BMW,2017,5,1570,47416,3,21,9078,0.7899999999999998,2.5,-1.3666076770036035,73,85.0,3833,63.53072114906046,False,
3 Series,BMW,2017,5,1570,47416,3,22,9068,0.7749999999999998,2.5,1.775046908751969,74,87.52082662623793,4764,161.54886821613144,False,
3 Series,BMW,2017,5,1570,47416,3,23,8973,0.7599999999999998,2.5,0.5377306030780484,74,86.53157941003424,2747,79.68129803709307,False,
3 Series,BMW,2017,5,1570,47416,3,24,8963,0.7549999999999998,2.5,-2.652171572648802,71,85.0,1735,72.93889477042391,False,
3 Series,BMW,2017,5,1570,47416,3,25,8949,0.7399999999999998,2.5,1.6415843235232153,72,85.58088054531429,4009,104.29283929198186,False,
3 Series,BMW,2017,5,1570,47416,3,26,8864,0.7249999999999998,2.5,3.4455820462748106,75,89.56489087802728,4328,125.88814338965676,False,
3 Series,BMW,2017,5,1570,47416,3,27,8785,0.7199999999999998,2.5,-2.077847654085952,72,85.0,3707,75.92916747431076,False,
3 Series,BMW,2017,5,1570,47416,3,28,8764,0.7149999999999997,2.5,-2.8975158152830494,69,85.0,3145,84.24281467172244,False,
3 Series,BMW,2017,5,1570,47416,3,29,8708,0.7099999999999997,2.5,-10.0,59,85.0,726,20.784828249584663,False,
3 Series,BMW,2017,5,1570,47416,3,30,8694,0.7049999999999997,2.5,-9.84885834948523,49,85.0,1065,11.213846090962083,False,
3 Series,BMW,2017,5,1570,47416,3,31,8658,0.6999999999999997,2.5,-10.0,39,85.0,800,32.22939973658761,False,
3 Series,BMW,2017,5,1570,47416,3,32,8601,0.6949999999999997,2.5,-10.0,29,85.0,947,13.164587486223702,False,
3 Series,BMW,2017,5,1570,47416,3,33,8512,1.0,2.5,-10.0,19,85.0,1616,67.45259025957857,False,
3 Series,BMW,2017,5,1570,47416,3,34,8500,0.995,2.5,-8.744493887352208,10,85.0,1725,57.934334402688755,False,
3 Series,BMW,2017,5,1570,47416,3,35,8486,0.99,2.5,-10.0,0,85.0,1064,26.396242525932404,False,
