,score,salary,happiness,Age
208,46,81970.44756691394,20.0,68
209,43,124898.6566757735,41.0,60
210,59,142071.39897690827,80.0,33
211,46,72177.20609670879,20.0,45
212,35,98426.4125110999,21.0,32
213,51,94095.74572847743,40.0,26
214,52,124862.10959212517,60.0,79
215,4,144796.61053574475,61.0,30
216,46,155379.41041281496,100.0,56
217,48,59080.35647704106,20.0,35
218,72,117920.21736521635,60.0,59
219,25,122390.27865330121,60.0,71
220,25,114492.2476052841,60.0,77
221,14,18674.21058158992,20.0,46
222,33,171912.60586337154,100.0,28
223,39,102682.7082812637,40.0,36
224,26,118904.76841954135,60.0,24
225,88,112947.64561258588,60.0,22
226,59,122565.04145257988,41.0,47
227,58,102612.75060894906,40.0,51
228,65,144612.9868190288,80.0,73
229,14,93918.00361203446,21.0,65
230,75,137271.30171702214,61.0,26
231,41,112139.9687174895,41.0,64
232,77,200699.17649716622,100.0,45
233,28,118633.36753817405,60.0,37
234,25,101907.35816235235,40.0,23
235,17,78094.88302466227,20.0,25
236,8,123826.8144027743,60.0,38
237,6,,20.0,63
238,92,198408.3500508744,100.0,25
239,79,164031.93604732625,81.0,28
240,30,126962.97120582392,80.0,57
241,22,124938.70563026267,41.0,32
242,69,153274.72294113046,81.0,47
243,52,102002.14315303299,21.0,77
244,8,109177.60983169268,41.0,78
245,33,138323.7569514715,61.0,31
246,8,,20.0,67
247,43,107449.69187205116,60.0,21
248,23,72663.26960334257,1.0,77
249,4,70807.67589850526,20.0,52
250,76,17572.60983468991,1.0,30
251,51,120665.62714088982,60.0,66
252,63,171954.25962780154,81.0,75
253,8,116931.63071182104,41.0,55
254,39,95578.86109063358,40.0,41
255,73,140805.48287306537,61.0,34
256,11,102669.36511207164,21.0,59
257,89,97784.98527348171,40.0,34
258,49,150089.7683570536,81.0,43
259,90,144560.0788946903,61.0,44
260,3,88909.23281768663,40.0,26
261,11,118997.15274651482,60.0,45
262,54,159816.8361538991,81.0,66
263,2,146508.98384167627,61.0,29
264,99,140952.28390289444,80.0,66
265,25,129776.00948198723,61.0,56
266,87,167938.3540787003,81.0,70
267,32,114473.34135283792,60.0,43
268,78,146656.7175269141,80.0,76
269,58,129479.90451354191,61.0,47
270,28,58592.26541158999,1.0,28
271,97,-20946.363595958217,1.0,38
272,88,160502.9713866882,100.0,28
273,5,88606.95545635572,40.0,70
274,78,165621.75588945398,100.0,69
275,85,109671.68343924261,60.0,28
276,93,148796.525895016,81.0,79
277,14,120663.77084334567,60.0,34
278,84,101043.56730774244,40.0,68
279,33,107898.07692847808,60.0,57
280,63,158239.17808424757,100.0,45
281,28,121614.22911772186,41.0,48
282,40,92313.21021555811,40.0,38
283,29,127707.08059901558,80.0,24
284,65,110171.85928719798,60.0,56
285,68,143664.54902216946,80.0,37
286,17,86808.66839423781,40.0,38
287,71,122724.09830474878,41.0,78
288,47,107512.90928753234,41.0,40
289,80,110810.07981336456,60.0,60
290,9,,20.0,30
291,50,128074.09761120318,80.0,30
292,73,119604.2711831369,41.0,43
293,52,145805.68615210825,61.0,34
294,7,103093.12602411507,21.0,80
295,97,163637.08869736167,100.0,43
296,96,109984.75181488121,60.0,22
297,63,96160.18915377918,21.0,25
298,39,141822.774400238,80.0,23
299,37,97730.58755477142,40.0,60
300,91,155744.22813593116,100.0,75
301,10,85824.50624422346,21.0,78
302,58,118864.83435036917,60.0,26
303,71,99959.84412336751,21.0,22
304,92,101254.95606185519,40.0,26
305,58,148600.22233648636,100.0,25
306,51,54665.87113771532,1.0,31
307,74,144739.02746241385,61.0,26
308,93,116802.249796719,41.0,27
309,38,123877.68982910045,60.0,47
310,84,158197.04684662327,100.0,32
311,64,161991.32296585914,100.0,42
312,0,66428.17953244483,20.0,44
313,54,101537.49212635189,21.0,47
314,59,124057.55772190033,60.0,75
315,18,95520.8155301711,40.0,78
316,33,129960.39656781222,80.0,53
317,59,87305.27956350554,21.0,73
318,25,162175.24991064586,81.0,41
319,38,65545.92313981007,20.0,54
320,61,75382.36211247653,1.0,67
321,32,124272.1048739604,41.0,62
322,41,105342.07484949607,21.0,31
323,15,61380.362301340625,1.0,36
324,65,174765.97858080734,100.0,34
325,96,,1.0,36
326,72,172455.37899098377,81.0,56
327,75,133759.5310457304,80.0,51
328,20,145557.22394121133,80.0,69
329,0,87476.28076039854,21.0,23
330,30,159161.44841617232,81.0,80
331,27,124369.53024599247,41.0,76
332,44,,20.0,57
333,31,86202.50486027906,40.0,30
334,25,94899.48005994057,40.0,35
335,22,105717.02917538596,40.0,35
336,17,86683.63682227343,21.0,73
337,17,,1.0,72
338,59,140808.64961182047,80.0,51
339,62,114799.959739019,41.0,79
340,72,139945.20763238776,80.0,78
341,20,100681.40402089752,40.0,46
342,73,127510.93062666932,61.0,61
343,65,83537.32010348036,1.0,48
344,25,104181.04472249794,21.0,33
345,84,114215.12860581359,60.0,24
346,33,83824.44030769075,20.0,54
347,74,127559.68981277705,80.0,42
348,59,-31883.990479436558,20.0,65
349,48,,1.0,42
350,22,55817.76513697723,1.0,47
351,22,,1.0,41
352,59,127902.54059837236,80.0,54
353,90,172892.15061788814,81.0,80
354,87,143477.043649289,80.0,55
355,16,79906.1714732077,20.0,72
356,20,83430.39391994201,1.0,49
357,8,101063.45425263293,21.0,52
358,81,148058.04619777645,100.0,46
359,0,159630.82131873956,100.0,68
360,72,94022.35105261844,21.0,58
361,11,67345.3832817208,20.0,32
362,63,110930.95052599191,41.0,22
363,78,119331.48533965473,41.0,54
364,44,-69725.54635978385,20.0,71
365,21,71011.5347081265,1.0,25
366,92,151750.7707275051,100.0,28
367,28,114358.3482136404,41.0,43
368,55,133373.92271703886,80.0,52
369,68,131451.32645421394,61.0,30
370,48,113136.61927235228,41.0,64
371,84,83038.42741622377,1.0,26
372,77,-151112.2228028792,1.0,78
373,92,193307.34299196175,100.0,27
374,42,110610.39988997289,41.0,64
375,75,173354.99207939298,81.0,68
376,99,168217.97596974514,81.0,57
377,76,128229.86699498659,61.0,29
378,33,,20.0,53
379,0,84288.58837983583,21.0,45
380,79,127027.95634686042,61.0,24
381,73,121576.78793927332,41.0,77
382,59,119191.69787000834,41.0,52
383,20,107959.69839185923,41.0,60
384,25,85518.79741831316,40.0,25
385,27,88319.69754474281,40.0,26
386,77,159647.1262288185,100.0,33
387,53,86827.33461971914,40.0,46
388,66,132703.27712255946,80.0,70
389,41,114414.11277722995,41.0,21
390,44,89797.94579017375,40.0,55
391,67,146066.47746740037,61.0,31
392,20,76850.27141087108,1.0,32
393,53,94203.02988209968,21.0,25
394,73,127600.31596851732,80.0,31
395,74,140196.12808784694,61.0,32
396,54,160030.71911984117,81.0,32
397,51,141482.09025834847,61.0,75
398,43,94758.37241186784,40.0,41
399,45,102407.34563323716,21.0,60
400,43,114579.38093690458,41.0,80
401,76,180203.1197276741,81.0,47
402,81,177659.53985369843,100.0,68
403,79,117677.36646021399,41.0,48
404,22,88252.18073402747,21.0,24
405,21,,20.0,28
406,44,157141.949706767,81.0,67
407,9,,1.0,68
408,45,119140.26899343978,60.0,32
409,75,116860.9186460984,41.0,44
410,38,125082.31387842176,41.0,41
411,43,-10747.368463290506,20.0,72
412,79,62079.89749789292,1.0,52
413,79,123991.9209338059,41.0,72
414,83,111138.13685424531,41.0,29
415,54,154977.54016222854,81.0,56
416,2,92157.50194577148,40.0,77
417,73,107594.068450502,41.0,21
418,41,71784.45818578107,1.0,44
419,23,102263.2224266128,40.0,53
420,62,151851.27734821115,100.0,50
421,64,122307.7430280433,41.0,38
422,95,174251.8481598326,81.0,77
423,64,79380.07868096817,1.0,49
424,12,121956.6076809428,60.0,69
425,22,243121.8668672864,81.0,67
426,58,153348.43495571558,81.0,33
427,66,103839.53748354454,21.0,58
428,21,141134.72843382735,80.0,22
429,26,137704.00707085832,80.0,41
430,39,122455.45766020169,60.0,50
431,87,167412.03549453814,100.0,35
432,27,112660.75630060871,41.0,55
433,43,110675.43896439792,41.0,41
434,76,140672.33110642643,80.0,23
435,28,87427.0486171137,21.0,75
436,50,88733.66636407709,40.0,63
437,21,78407.95948521371,1.0,56
438,86,230507.45348477474,81.0,55
439,3,133408.54019365422,61.0,79
440,3,49207.05461842028,20.0,71
441,55,102548.76999998564,21.0,48
442,99,133746.06180939722,80.0,60
443,1,123061.57072643239,41.0,56
444,17,,1.0,21
445,53,75637.2684113465,20.0,27
446,69,97151.6486442872,21.0,77
447,70,125268.41109311293,60.0,37
448,64,135297.39120515846,61.0,44
449,14,57942.49750453674,1.0,22
450,12,47896.734650065795,20.0,37
451,80,115166.44209398027,41.0,49
452,38,116424.07841298431,60.0,30
453,59,135662.59522207273,80.0,50
454,37,132662.92262285727,80.0,38
455,40,99744.58476421068,40.0,26
456,6,92779.49531655514,40.0,49
457,60,126582.87245345867,61.0,57
458,15,71898.05223569136,1.0,71
459,57,139301.14127151694,61.0,67
460,0,49964.56479620149,20.0,64
461,26,87962.80049562088,21.0,31
462,35,98258.61892312813,40.0,56
463,56,89837.53259367018,40.0,51
464,41,165585.2267472733,100.0,59
465,60,95198.87440926165,40.0,52
466,16,80873.40794904949,1.0,41
467,95,203900.54050927865,81.0,37
468,83,131838.82513660187,80.0,28
469,71,90402.29681057617,21.0,46
470,59,134391.91630345184,61.0,32
471,65,147107.5555437121,80.0,41
472,6,72171.99525935805,1.0,73
473,37,95053.51349955564,40.0,31
474,79,157801.7537938084,81.0,47
475,57,140980.58135539046,61.0,21
476,74,112196.2001758755,41.0,48
477,64,164309.13599432568,100.0,54
478,66,113129.27495907526,60.0,66
479,67,162959.97555381042,100.0,73
480,65,90099.1879678873,21.0,31
481,53,91416.40831980812,21.0,71
482,73,172914.914663887,100.0,68
483,12,89077.59980765419,21.0,29
484,56,-84455.35160852014,20.0,54
485,74,174291.80219120384,81.0,68
486,54,90924.29341645427,40.0,77
487,61,115989.99997611716,60.0,72
488,77,84734.44367157479,40.0,47
489,54,117063.88858041473,60.0,48
490,48,74133.9527761799,20.0,56
491,18,91400.15337868285,40.0,78
492,39,116423.3943490532,41.0,51
493,44,132085.86290279016,80.0,56
494,7,84735.43545655716,40.0,45
495,97,162306.07456934438,81.0,53
496,47,120955.68769982524,41.0,25
497,7,94551.24993895402,21.0,53
498,39,107646.76687131985,60.0,29
499,72,167122.29552291968,81.0,76
500,69,142854.5713217947,80.0,27
501,43,125268.45116661236,41.0,46
502,43,87798.39293756674,21.0,30
503,52,78289.53945610818,1.0,61
504,96,164541.5856916395,81.0,74
505,81,153493.44504780328,81.0,44
506,97,217966.03758575462,100.0,25
507,53,140261.14394354544,61.0,31
508,60,142561.54670586772,80.0,49
509,58,118556.27975998622,60.0,63
510,34,61191.53780730176,1.0,73
511,19,90204.84485320993,21.0,22
512,56,147151.86307429342,80.0,75
513,19,86923.55598544053,21.0,21
514,25,146267.57398161455,61.0,74
515,8,81762.6750483147,20.0,68
516,47,150031.25532968465,81.0,36
517,63,114063.38452506257,60.0,54
518,25,89508.91717554846,21.0,39
519,82,172093.6733230882,100.0,46
520,7,117645.02964441513,60.0,55
521,19,85690.33961482855,40.0,67
522,14,117914.00238558478,60.0,27
523,15,102110.54610530974,40.0,42
524,79,147900.88112376153,61.0,21
525,23,113909.66742368575,60.0,50
526,61,,1.0,58
527,19,98448.56759409071,21.0,71
528,77,-46857.50892185129,1.0,23
529,29,136211.21871674812,61.0,32
530,5,109934.95808865702,41.0,69
531,1,34961.22116570349,20.0,29
532,30,144554.20520674315,61.0,26
533,9,129398.64975881507,61.0,75
534,71,147695.5805761903,80.0,78
535,19,97591.84188840934,40.0,36
536,18,62295.07701577565,1.0,41
537,44,129354.73405520526,80.0,56
538,2,65053.84787349198,20.0,76
539,28,84935.74127682361,21.0,62
540,49,106611.19868985479,41.0,80
541,81,135060.3697727022,61.0,22
542,45,175469.3859353449,81.0,64
543,20,,1.0,59
544,6,,1.0,32
545,76,165375.00652208936,81.0,77
546,67,98347.5236668613,40.0,73
547,23,53218.30221632057,1.0,56
548,89,115477.27298573137,60.0,44
549,75,149648.2537161577,81.0,73
550,9,,20.0,47
551,41,129902.86816995428,80.0,41
552,24,88469.2554189634,21.0,35
553,15,92538.27782081536,21.0,49
554,55,74266.7913280848,20.0,56
555,45,165157.06140146597,100.0,39
556,61,162770.64426483912,100.0,58
557,79,170892.4022332796,100.0,75
558,77,133491.00519646896,80.0,48
559,82,138744.76342799256,61.0,47
560,29,163846.16131944713,81.0,74
561,54,136767.5419551517,61.0,57
562,18,52303.77119497998,1.0,23
563,86,137983.81030525904,80.0,66
564,75,151611.06917790967,81.0,51
565,83,153814.82929506604,81.0,39
566,40,90112.13546773854,21.0,61
567,28,86089.09854447604,21.0,31
568,32,57863.92449174014,20.0,36
569,12,,1.0,80
570,82,125619.63368271056,60.0,40
571,96,133874.3106680903,80.0,66
572,74,92877.18581350896,40.0,40
573,83,119972.80582693813,41.0,46
574,79,138589.58765591803,61.0,41
575,33,110587.52107561745,60.0,56
576,13,,20.0,79
577,9,,1.0,63
578,13,91823.48164888183,40.0,61
579,25,152464.78676472555,100.0,65
580,26,116884.76597936955,60.0,46
581,41,163481.7905109906,81.0,31
582,33,98174.90280873598,40.0,64
583,0,,1.0,54
584,20,,20.0,67
585,60,140196.2332123601,80.0,72
586,44,167591.15315200936,100.0,78
587,15,92905.84666474548,40.0,71
588,47,136285.45774481312,80.0,31
589,6,,1.0,57
590,19,83629.6782080075,1.0,70
591,2,77156.60646853509,1.0,56
592,70,161065.6172946327,81.0,69
593,21,71610.70250893243,1.0,72
594,22,91138.27572583145,40.0,58
595,11,107489.28484972811,41.0,63
596,30,,20.0,54
597,69,88699.69414180814,40.0,50
598,57,145450.40460281793,61.0,54
599,94,184261.59024434508,81.0,22
600,66,154772.37949044612,100.0,70
601,91,132994.74005869153,61.0,24
602,45,112311.02065539712,60.0,78
603,6,,1.0,79
604,10,42355.84003816349,20.0,76
605,26,111095.0381325126,60.0,56
606,12,100572.15428431102,21.0,22
607,21,55425.81965979658,20.0,79
608,62,84443.16452820145,21.0,49
609,94,151656.70382582967,100.0,78
610,54,117593.13225233767,41.0,43
611,80,160626.82224513273,81.0,66
612,6,117668.93311604823,60.0,72
613,20,43208.964882199885,1.0,61
614,99,134245.37427224996,80.0,33
615,71,142358.62076181627,61.0,69
616,47,56022.61408450789,20.0,33
617,92,136080.6586595212,61.0,56
618,8,103788.60613153898,21.0,22
619,97,142853.8822043579,80.0,68
620,41,77956.38004782393,1.0,37
621,12,112869.3886373428,41.0,71
622,21,131187.43053556298,61.0,23
623,62,160015.66535540836,100.0,41
624,93,163133.6777938117,100.0,32
625,18,80464.81187503657,1.0,30
626,58,169226.07361405087,81.0,50
627,3,68286.25365493554,1.0,32
628,23,107514.85939501128,41.0,48
629,79,143565.8077656544,80.0,60
630,78,108085.70141001488,41.0,78
631,17,96092.37568704507,40.0,36
632,76,146882.06618997542,61.0,66
633,14,,20.0,26
634,91,115273.42270522816,60.0,42
635,5,121428.63232776283,60.0,72
636,36,106661.77742794825,41.0,28
637,31,81809.05787954335,20.0,45
638,18,109940.03058885156,41.0,54
639,32,105733.29865238123,40.0,63
640,91,113977.77981194366,41.0,59
641,5,107763.91462484177,41.0,63
642,27,102537.05408341743,40.0,26
643,85,114963.38693645253,60.0,66
644,9,110677.95258875794,60.0,41
645,68,174789.29728534794,81.0,70
646,9,118303.26764146064,41.0,59
647,80,181807.35660388746,81.0,55
648,25,103056.72147443412,40.0,37
649,81,132731.82398916967,61.0,45
650,60,101435.700417354,21.0,53
651,11,104858.39109661471,21.0,24
652,97,128703.29325742004,61.0,71
653,75,147146.3695400657,61.0,48
654,67,128295.44778364367,80.0,30
655,44,143943.03934319693,61.0,23
656,53,132420.8169329193,80.0,63
657,86,154920.2232216188,100.0,73
658,57,117698.10408900521,41.0,26
659,7,65556.21994820499,20.0,64
660,66,189330.85973853074,81.0,72
661,10,86394.38060714112,40.0,53
662,5,,20.0,78
663,58,162305.6503357772,100.0,40
664,81,88795.76675273347,21.0,30
665,92,172987.3328757066,100.0,29
666,98,185729.75774437597,100.0,69
667,3,112209.9715601918,41.0,69
668,3,32034.38907021314,1.0,58
669,19,105119.11898598581,40.0,28
670,12,84578.66579161063,21.0,47
671,57,147569.52858310356,61.0,62
672,93,120420.06953357664,41.0,50
673,96,153014.87729097385,100.0,63
674,54,120641.24359285575,41.0,69
675,51,110786.26357606055,60.0,64
676,2,89244.2798398402,40.0,32
677,97,141712.2517012424,80.0,72
678,32,60476.05025307419,1.0,28
679,87,176631.22050999038,100.0,52
680,81,161503.81966520584,100.0,48
681,41,94879.20728030245,21.0,66
682,18,80118.89101234886,1.0,42
683,92,142399.56198324636,61.0,57
684,95,163415.01099816608,100.0,68
685,18,93514.48866151537,40.0,52
686,8,115952.42467607555,60.0,60
687,19,73973.83181899236,20.0,71
688,89,143776.3136510082,61.0,39
689,56,70409.69933381086,1.0,28
690,4,92776.38285784515,40.0,42
691,82,128874.28566192971,80.0,35
692,5,,1.0,25
693,38,79968.95575180177,1.0,46
694,82,154588.66289507982,100.0,40
695,48,113642.65568670747,41.0,38
696,65,110003.69531131003,60.0,73
697,54,157632.8495358206,100.0,63
698,77,162620.16379819033,100.0,75
699,95,170538.77219994884,81.0,23
700,44,121128.8199053665,41.0,48
701,97,146090.9611091779,61.0,53
702,66,187444.19966250277,100.0,55
703,65,125862.89227279412,80.0,27
704,47,87676.4418187011,21.0,56
705,8,44577.46179242552,1.0,24
706,89,147898.8688366318,80.0,48
707,36,150083.49584454542,100.0,38
708,62,123092.45330839515,60.0,22
709,84,165904.93304668606,81.0,67
710,26,65998.22815533177,1.0,43
711,54,150371.52049331408,100.0,76
712,79,153559.0458647324,81.0,29
713,81,153073.66020939208,100.0,30
714,35,,20.0,38
715,6,,20.0,34
716,11,53127.739357305996,20.0,77
717,91,171486.63553779584,100.0,65
718,62,83308.7106688442,1.0,34
719,40,138003.96068732248,80.0,61
720,54,110642.19469814372,41.0,37
721,77,156310.40864211388,100.0,61
722,76,175764.38808758795,81.0,24
723,86,161146.4679568441,81.0,28
724,48,135812.6276251444,61.0,51
725,4,13799.436887046599,1.0,68
726,14,93841.60756939527,40.0,61
727,6,98301.96457436663,21.0,66
728,70,136189.09790084438,61.0,75
729,33,91045.64368853657,21.0,36
730,44,100391.09176001877,21.0,73
731,67,128482.97774930607,80.0,40
732,56,138643.7009067491,61.0,27
733,68,148531.35511526855,100.0,66
734,55,108405.53376852986,60.0,76
735,55,150370.98238728233,81.0,37
736,18,93153.78791036656,21.0,57
737,32,96853.26970548899,40.0,40
738,37,114593.79880636126,60.0,41
739,6,,20.0,49
740,74,156445.20411106246,100.0,22
741,36,107261.39845520484,60.0,24
742,95,201490.60997260967,100.0,24
743,75,149306.93871750293,81.0,25
744,7,,1.0,75
745,26,95250.9152905131,40.0,41
746,67,153506.60739669076,100.0,67
747,53,95950.34623416263,21.0,51
748,21,123738.10973511412,41.0,79
749,26,156129.45201833,100.0,65
750,65,155150.038806585,100.0,34
751,87,157472.60372913064,81.0,65
752,73,160044.80943771225,81.0,33
753,25,63225.720624966794,20.0,26
754,78,100860.80419826909,21.0,67
755,4,125631.58320398894,80.0,47
756,4,62472.40212769239,1.0,33
757,29,56390.18046669292,20.0,62
758,83,22475.41154942366,1.0,66
759,29,132846.50620871378,80.0,35
760,70,151051.77448824316,81.0,25
761,24,89974.86438465782,40.0,22
762,96,90718.03403177545,21.0,55
763,96,124310.59422929096,60.0,36
764,33,124942.17908087034,41.0,29
765,70,74412.28933728361,1.0,50
766,16,88955.16440094583,21.0,21
767,70,111141.13485376099,60.0,52
768,64,111647.92751846129,41.0,60
769,9,171573.16961773465,81.0,36
770,39,97939.04554666173,21.0,29
771,28,82978.58738621522,20.0,54
772,82,137010.06192685454,61.0,48
773,52,-38788.53178513178,20.0,22
774,17,,1.0,26
775,63,113503.50508031933,60.0,69
776,36,73507.31630513858,1.0,27
777,89,142897.2243565463,61.0,78
778,71,140809.6571833244,61.0,78
779,77,161363.9032923596,81.0,49
780,69,113852.26487216138,41.0,46
781,39,93787.2073408238,21.0,23
782,99,163054.47523955855,81.0,41
783,52,154098.3902821323,81.0,21
784,75,105233.76117587186,40.0,29
785,81,167432.37273419613,81.0,60
786,55,114533.28465732123,60.0,38
787,37,134805.06508819986,80.0,60
788,71,142454.46938726233,80.0,70
789,42,104488.40494238434,40.0,46
790,11,59185.945550517856,20.0,62
791,48,159809.7794661374,81.0,30
792,56,111815.67125811146,60.0,21
